Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,4.016786,4.0182,4.0163,4.016786,4.016786,0
2020-01-02,4.0163,4.0387,4.00082,4.0163,4.0163,0
2020-01-03,4.0237,4.067005,4.021125,4.0234,4.0234,0
2020-01-06,4.057,4.0662,4.044942,4.057,4.057,0
2020-01-07,4.0605,4.0906,4.043024,4.0604,4.0604,0
2020-01-08,4.0662,4.0764,4.0441,4.0662,4.0662,0
2020-01-09,4.0628,4.0847,4.037521,4.0628,4.0628,0
2020-01-10,4.0922,4.0925,4.061031,4.0921,4.0921,0
2020-01-13,4.0904,4.1388,4.088028,4.0705,4.0705,0
2020-01-14,4.1459,4.1575,4.12605,4.1458,4.1458,0
2020-01-15,4.1313,4.1819,4.1102,4.1313,4.1313,0
2020-01-16,4.1744,4.1905,4.1594,4.1742,4.1742,0
2020-01-17,4.1837,4.1887,4.171507,4.1836,4.1836,0
2020-01-20,4.1616,4.1862,4.1574,4.1616,4.1616,0
2020-01-21,4.1887,4.2052,4.166776,4.1885,4.1885,0
2020-01-22,4.2109,4.2113,4.1794,4.2109,4.2109,0
2020-01-23,4.1814,4.1878,4.1556,4.1813,4.1813,0
2020-01-24,4.1688,4.1876,4.1474,4.1691,4.1691,0
2020-01-27,4.1595,4.2297,4.1595,4.1595,4.1595,0
2020-01-28,4.2061,4.2157,4.1869,4.2061,4.2061,0
2020-01-29,4.1933,4.2211,4.1817,4.1934,4.1934,0
2020-01-30,4.2288,4.2692,4.226698,4.2289,4.2289,0
2020-01-31,4.2422,4.2842,4.240011,4.2422,4.2422,0
2020-02-03,4.2826,4.2826,4.228579,4.2826,4.2826,0
2020-02-04,4.2465,4.2475,4.2232,4.2468,4.2468,0
2020-02-05,4.2539,4.2586,4.22381,4.2537,4.2537,0
2020-02-06,4.2336,4.2709,4.207225,4.2336,4.2336,0
2020-02-07,4.2809,4.3221,4.2772,4.2808,4.2808,0
2020-02-10,4.3204,4.3255,4.30438,4.3204,4.3204,0
2020-02-11,4.3232,4.3355,4.2965,4.320975,4.320975,0
2020-02-12,4.327531,4.3473,4.3235,4.327531,4.327531,0
2020-02-13,4.3546,4.3801,4.309545,4.3545,4.3545,0
2020-02-14,4.346647,4.3489,4.3005,4.346767,4.346767,0
2020-02-17,4.297,4.3237,4.294353,4.297,4.297,0
2020-02-18,4.3266,4.3539,4.321498,4.3265,4.3265,0
2020-02-19,4.3549,4.3754,4.352478,4.3548,4.3548,0
