Date,Open,High,Low,Close,Adj Close,Volume
2023-10-27,8.16,8.44,7.76,7.77,7.77,17234800
2023-10-26,7.6,8.23,7.53,8.23,8.23,15446500
2023-10-25,7.51,7.7,7.4,7.6,7.6,12485500
2023-10-24,7.37,7.58,7.37,7.48,7.48,9631800
2023-10-23,6.85,7.44,6.81,7.28,7.28,12412000
2023-10-20,6.8,7.0,6.74,6.9,6.9,9624200
2023-10-19,7.2,7.36,6.88,6.88,6.88,14994400
2023-10-18,7.68,7.69,7.22,7.24,7.24,15337200
2023-10-17,7.42,7.8,7.35,7.8,7.8,17300800
2023-10-16,7.05,7.48,7.0,7.48,7.48,9530900
2023-10-13,6.86,7.21,6.71,7.02,7.02,13585800
2023-10-11,6.83,7.16,6.78,7.11,7.11,13912700
2023-10-10,6.37,6.85,6.37,6.8,6.8,15371700
2023-10-09,6.16,6.34,5.97,6.34,6.34,11311600
2023-10-06,6.15,6.38,5.97,6.34,6.34,13205600
2023-10-05,6.2,6.66,6.14,6.3,6.3,13697600
2023-10-04,6.11,6.39,6.1,6.24,6.24,10803700
2023-10-03,6.29,6.39,5.98,6.02,6.02,10599400
2023-10-02,6.64,6.65,6.32,6.35,6.35,6535100
2023-09-29,6.64,6.73,6.51,6.61,6.61,7403400
2023-09-28,6.52,6.56,6.36,6.55,6.55,7850700
2023-09-27,6.2,6.6,6.14,6.56,6.56,15471000
2023-09-26,6.07,6.29,6.03,6.12,6.12,10248500
2023-09-25,6.37,6.38,6.17,6.2,6.2,7059600
2023-09-22,6.73,6.8,6.41,6.43,6.43,9230100
2023-09-21,6.6,6.89,6.54,6.69,6.69,10341900
2023-09-20,6.54,7.07,6.46,6.79,6.79,19597100
2023-09-19,6.67,6.67,6.33,6.4,6.4,11136000
2023-09-18,6.61,6.86,6.49,6.7,6.7,11911700
2023-09-15,6.57,6.63,6.4,6.58,6.58,12447300
2023-09-14,6.82,6.87,6.53,6.59,6.59,8577300
2023-09-13,6.66,6.95,6.61,6.8,6.8,8437100
2023-09-12,6.65,6.82,6.62,6.71,6.71,7153300
2023-09-11,6.8,6.8,6.52,6.68,6.68,7802400
2023-09-08,6.62,6.73,6.57,6.69,6.69,5760900
2023-09-06,6.89,6.99,6.66,6.7,6.7,8461900
2023-09-05,7.17,7.18,6.84,6.89,6.89,11241500
2023-09-04,7.2,7.45,7.16,7.23,7.23,5993100
2023-09-01,7.09,7.24,7.07,7.24,7.24,9654000
2023-08-31,7.38,7.42,7.0,7.03,7.03,11726400
2023-08-30,7.38,7.5,7.32,7.41,7.41,8539200
2023-08-29,7.34,7.38,7.11,7.38,7.38,9009300
2023-08-28,7.26,7.31,7.18,7.27,7.27,9033800
2023-08-25,7.51,7.52,7.22,7.26,7.26,9366600
2023-08-24,7.88,7.91,7.5,7.52,7.52,14717300
2023-08-23,7.7,8.02,7.6,7.88,7.88,15186200
2023-08-22,7.72,7.77,7.2,7.68,7.68,29256100
2023-08-21,7.82,7.89,7.5,7.61,7.61,15128500
2023-08-18,7.49,7.89,7.27,7.8,7.8,24727000
2023-08-17,8.13,8.15,7.79,7.82,7.82,12138500
2023-08-16,8.21,8.24,7.9,8.03,8.03,21969300
2023-08-15,9.0,9.0,7.87,8.19,8.19,35899800
2023-08-14,9.33,9.44,9.16,9.36,9.36,6924500
2023-08-11,9.66,9.66,9.17,9.31,9.31,9411900
2023-08-10,9.19,9.77,9.17,9.66,9.66,11473000
2023-08-09,9.45,9.52,9.05,9.09,9.09,8507900
2023-08-08,9.26,9.49,9.18,9.45,9.45,6579200
2023-08-07,9.49,9.52,9.2,9.37,9.37,6259100
2023-08-04,9.37,9.68,9.32,9.42,9.42,11320900
2023-08-03,9.78,9.83,9.3,9.32,9.32,12944700
2023-08-02,9.48,9.62,9.34,9.59,9.59,8361700
2023-08-01,9.51,9.64,9.26,9.55,9.55,14929400
2023-07-31,9.64,9.9,9.54,9.63,9.63,12079000
2023-07-28,9.8,9.9,9.54,9.6,9.6,11811800
2023-07-27,10.75,10.87,9.69,9.69,9.69,27770000
2023-07-26,10.08,10.34,9.87,10.29,10.29,11511500
2023-07-25,10.69,10.95,9.98,10.13,10.13,14981300
2023-07-24,10.38,10.6,10.09,10.45,10.45,11682900
2023-07-21,9.64,10.47,9.62,10.38,10.38,13908400
2023-07-20,10.05,10.11,9.6,9.65,9.65,10835500
2023-07-19,9.95,10.05,9.79,10.01,10.01,8000900
2023-07-18,10.15,10.25,9.9,9.99,9.99,10927900
2023-07-17,9.76,10.18,9.67,10.11,10.11,11069300
2023-07-14,10.39,10.39,9.83,9.93,9.93,13184300
2023-07-13,10.94,11.04,10.51,10.55,10.55,10894000
2023-07-12,11.24,11.27,10.75,10.9,10.9,12768300
2023-07-11,11.55,11.56,10.73,11.05,11.05,25325400
2023-07-10,11.86,12.39,11.72,11.74,11.74,15135200
2023-07-07,11.99,12.33,11.99,12.0,12.0,17062900
2023-07-06,13.1,13.1,11.9,11.9,11.9,19883300
2023-07-05,13.13,13.39,12.92,13.19,13.19,12898900
2023-07-04,13.1,13.35,12.89,13.16,13.16,9647200
2023-07-03,13.3,13.53,13.09,13.15,13.15,12952900
2023-06-30,12.94,13.24,12.93,13.17,13.17,13805900
2023-06-29,12.76,12.94,12.47,12.82,12.82,11833800
2023-06-28,12.35,13.08,12.23,12.69,12.69,17797200
2023-06-27,12.2,12.5,11.77,12.37,12.37,14899200
2023-06-26,12.09,12.35,11.69,11.98,11.98,9961300
2023-06-23,12.06,12.27,11.78,12.12,12.12,13490400
2023-06-22,11.84,11.99,11.5,11.96,11.96,16683600
2023-06-21,11.87,12.18,11.7,12.02,12.02,13751300
2023-06-20,11.68,11.94,11.45,11.85,11.85,13360300
2023-06-19,11.4,11.75,11.34,11.65,11.65,10304700
2023-06-16,11.05,11.59,11.0,11.34,11.34,15780400
2023-06-15,11.04,11.52,10.9,11.12,11.12,17197600
2023-06-14,10.11,11.19,10.08,11.18,11.18,26452500
2023-06-13,10.55,10.68,9.92,10.0,10.0,13752600
2023-06-12,10.51,10.66,10.16,10.53,10.53,17257500
2023-06-09,9.85,10.57,9.78,10.31,10.31,26195900
2023-06-07,9.89,10.41,9.53,9.61,9.61,22198500
2023-06-06,9.05,9.76,8.95,9.76,9.76,25223100
2023-06-05,8.92,9.05,8.7,8.98,8.98,10529300
2023-06-02,9.0,9.44,8.71,8.91,8.91,20396700
2023-06-01,8.35,8.81,8.22,8.8,8.8,15463800
2023-05-31,8.0,8.33,7.92,8.32,8.32,14308800
2023-05-30,8.32,8.46,7.94,8.04,8.04,10435200
2023-05-29,8.36,8.37,8.1,8.21,8.21,9141100
2023-05-26,7.9,8.44,7.88,8.33,8.33,18149100
2023-05-25,7.84,8.26,7.72,7.81,7.81,18232000
2023-05-24,7.75,7.78,7.44,7.6,7.6,11293500
2023-05-23,8.0,8.24,7.77,7.81,7.81,11817700
2023-05-22,7.79,8.42,7.78,8.06,8.06,18732400
2023-05-19,8.03,8.07,7.69,7.77,7.77,11030500
2023-05-18,8.06,8.09,7.87,7.98,7.98,11721300
2023-05-17,7.46,8.16,7.45,8.1,8.1,16886900
2023-05-16,7.7,7.86,7.35,7.43,7.43,10866200
2023-05-15,7.43,7.73,7.11,7.67,7.67,15256400
2023-05-12,7.49,7.53,7.21,7.37,7.37,11992200
2023-05-11,7.26,7.58,7.2,7.49,7.49,11663000
2023-05-10,7.12,7.48,7.11,7.29,7.29,11749900
2023-05-09,6.98,7.27,6.93,7.11,7.11,9011700
2023-05-08,7.01,7.32,6.99,7.02,7.02,12572500
2023-05-05,6.85,7.12,6.76,6.96,6.96,11993200
2023-05-04,6.94,7.07,6.69,6.82,6.82,10483300
2023-05-03,6.56,7.0,6.46,6.92,6.92,15218100
2023-05-02,6.66,6.86,6.43,6.53,6.53,13491600
2023-04-28,6.11,6.66,6.1,6.64,6.64,19837600
2023-04-27,6.01,6.11,5.9,6.09,6.09,11797200
2023-04-26,6.69,6.92,6.0,6.0,6.0,24086100
2023-04-25,6.6,6.63,6.27,6.41,6.41,11896900
2023-04-24,6.51,6.65,6.45,6.62,6.62,6491300
2023-04-20,6.5,6.64,6.36,6.57,6.57,9398500
2023-04-19,6.81,6.84,6.52,6.55,6.55,10401100
2023-04-18,7.04,7.11,6.76,6.89,6.89,8688500
2023-04-17,7.07,7.11,6.89,7.0,7.0,8022400
2023-04-14,7.01,7.09,6.85,7.02,7.02,8183800
2023-04-13,7.07,7.17,6.83,7.07,7.07,9042300
2023-04-12,7.14,7.38,6.98,7.05,7.05,17838000
2023-04-11,6.14,7.13,6.14,7.11,7.11,20845600
2023-04-10,6.08,6.23,6.01,6.07,6.07,9269600
2023-04-06,6.09,6.18,5.95,6.06,6.06,8744400
2023-04-05,6.18,6.24,5.92,6.08,6.08,9671700
2023-04-04,6.45,6.53,6.16,6.2,6.2,9421000
2023-04-03,6.55,6.64,6.31,6.42,6.42,8102000
2023-03-31,6.65,6.88,6.52,6.68,6.68,9444300
2023-03-30,6.46,6.95,6.45,6.69,6.69,12502700
2023-03-29,6.42,6.47,6.17,6.34,6.34,9251400
2023-03-28,6.19,6.42,6.07,6.4,6.4,7385100
2023-03-27,6.33,6.44,6.14,6.23,6.23,8022300
2023-03-24,6.02,6.33,5.96,6.3,6.3,11317700
2023-03-23,6.71,6.72,5.88,5.98,5.98,14271400
2023-03-22,6.98,7.05,6.6,6.65,6.65,11847200
2023-03-21,7.15,7.17,6.88,6.96,6.96,8076500
2023-03-20,7.09,7.27,7.02,7.07,7.07,8850200
2023-03-17,7.28,7.41,7.04,7.09,7.09,9513900
2023-03-16,7.18,7.36,7.09,7.3,7.3,12014700
2023-03-15,7.2,7.38,6.88,7.17,7.17,12870900
2023-03-14,7.22,7.55,7.15,7.28,7.28,12877400
